Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,200.490005,201.029999,198.589996,201.020004,222353500,196.794026
2015-12-31,205.130005,205.889999,203.869995,203.869995,102929500,199.584102
2015-12-30,207.110001,207.210007,205.759995,205.929993,63317700,201.600793
2015-12-29,206.509995,207.789993,206.470001,207.399994,92640700,203.039891
2015-12-28,204.860001,205.259995,203.940002,205.210007,65899900,200.895943
2015-12-24,205.720001,206.330002,205.419998,205.679993,48539600,201.356049
2015-12-23,204.690002,206.070007,204.580002,206.020004,110987200,201.688912
2015-12-22,202.720001,203.850006,201.550003,203.50,111026200,199.221885
2015-12-21,201.410004,201.880005,200.089996,201.669998,99094300,197.430355
2015-12-18,202.770004,202.929993,199.830002,200.020004,251393500,195.815048
2015-12-17,208.399994,208.479996,204.839996,204.860001,173092500,199.366778
2015-12-16,206.369995,208.389999,204.800003,208.029999,197017000,202.451774
2015-12-15,204.699997,206.110001,202.869995,205.029999,154069600,199.532218
2015-12-14,202.070007,203.050003,199.949997,202.899994,182385200,197.459328
2015-12-11,203.350006,204.139999,201.509995,201.880005,211173300,196.466689
2015-12-10,205.419998,207.429993,205.139999,205.869995,115196800,200.34969
2015-12-09,206.190002,208.679993,204.179993,205.339996,162401500,199.833903
2015-12-08,206.490005,208.289993,205.779999,206.949997,103372400,201.400732
2015-12-07,209.229996,209.729996,207.199997,208.350006,102027100,202.763201
2015-12-04,205.610001,209.970001,205.610001,209.619995,192913900,203.999135
2015-12-03,208.830002,209.149994,204.75,205.610001,166224200,200.096667
2015-12-02,210.619995,211.00,208.229996,208.529999,108441300,202.938367
2015-12-01,209.440002,210.820007,209.110001,210.679993,97858400,205.03071
2015-11-30,209.75,209.889999,208.559998,208.690002,112822700,203.09408
2015-11-27,209.429993,209.800003,208.860001,209.559998,37317800,203.940747
2015-11-25,209.50,209.740005,209.009995,209.320007,51980100,203.707192
2015-11-24,207.869995,209.830002,207.410004,209.350006,98874400,203.736386
2015-11-23,209.380005,209.979996,208.520004,209.070007,64931200,203.463895
2015-11-20,209.449997,210.119995,208.860001,209.309998,94011500,203.69745
2015-11-19,208.589996,209.050003,208.199997,208.550003,88220500,202.957835
2015-11-18,206.039993,208.899994,205.990005,208.729996,121342500,203.133001
2015-11-17,205.990005,207.039993,204.880005,205.470001,121123700,199.960422
2015-11-16,202.320007,205.690002,202.179993,205.619995,117645200,200.106394
2015-11-13,204.350006,204.669998,202.440002,202.539993,153577100,197.108981
2015-11-12,206.50,207.059998,204.820007,204.839996,121315200,199.34731
2015-11-11,208.880005,208.940002,207.660004,207.740005,67846000,202.169557
2015-11-10,207.509995,208.600006,207.190002,208.559998,75874600,202.967561
